Designation,job_id,Location,Detail_id,Company_id
Talent Acquisition Partner,3000,"Mumbai, Maharashtra, India",5000,1001
Talent Acquisition Partner (m/w/d),3001,"Bengaluru, Karnataka, India",5001,1002
Talent Acquisition Manager,3002,"Kolkata, West Bengal, India",5002,1003
Manager,3003,"Tamil Nadu, India",5003,1004
Talent Acquisition Partner (m/w/d),3004,"Noida, Uttar Pradesh, India",5004,1005
Talent Acquisition Lead,3005,"Chennai, Tamil Nadu, India",5005,1006
Technical Lead,3006,"Indore, Madhya Pradesh, India",5006,1007
C++ Low Latency Senior Developer/Team Lead,3007,"Bengaluru, Karnataka, India",5007,1008
North America-Team Lead-Talent Acquisition,3008,"Bengaluru, Karnataka, India",5008,1009
Team Lead (Workforce),3009,"Bengaluru East, Karnataka, India",5009,1010
Talent Advisor- Manager- IT/Telecom,3010,"Bengaluru, Karnataka, India",5010,1011
Senior Talent Acquisition Specialist,3011,"Pune, Maharashtra, India",5011,1012
Talent Acquisition Specialist- Leadership hiring,3012,India,5012,1013
Talent Acquisition Lead,3013,"Ahmedabad, Gujarat, India",5013,1014
"Assistant Manager, Talent Acquisition",3014,"Gurugram, Haryana, India",5014,1015
Senior Associate - Pune - Technology Consulting,3015,"Delhi, Delhi, India",5015,1016
Campus Lead (Hiring),3016,"Bengaluru, Karnataka, India",5016,1017
Talent Acquisition - Associate / Senior Associate - Kolkata,3017,"Bengaluru East, Karnataka, India",5017,1018
Senior Executive Talent Acquisition,3018,"Pune, Maharashtra, India",5018,1019
Talent Sourcing Lead,3019,"Bengaluru East, Karnataka, India",5019,1020
Direct Recruiter (Singapore Banking Recruiter),3020,"Navi Mumbai, Maharashtra, India",5020,1021
Lead - Talent Acquisition,3021,"Gurgaon, Haryana, India",5021,1022
Manager-Talent Acquisition,3022,"Bangalore Urban, Karnataka, India",5022,1023
Sr. Talent Acquisition Advisor,3023,"Indore, Madhya Pradesh, India",5023,1024
Lead Talent Consultant,3024,"Bengaluru, Karnataka, India",5024,1025
Assistant Manager -Talent Development-COR024811,3025,"Kochi, Kerala, India",5025,1026
Senior Talent acquisition Partner,3026,Hybrid,5026,1027
Enterprise Database Manager,3027,"Delhi, Delhi, India",5027,1028
Growth Officer,3028,Hybrid,5028,1029
Associate Manager - Talent Acquisition,3029,"Hyderabad, Telangana, India",5029,1030
Talent Acquisition Specialist - Contract,3030,"Chennai, Tamil Nadu, India",5030,1031
Specialist - Talent Operations,3031,"Kochi, Kerala, India",5031,1032
Business Development Associate,3032,"Pune, Maharashtra, India",5032,1033
Business Development Associate,3033,India,5033,1034
Recruitment Specialist,3034,Greater Lucknow Area,5034,1035
Talent Acquisition Business Partner,3035,"Bengaluru, Karnataka, India",5035,1036
SDM/DGM - Solutioning - HR Services,3036,"Bengaluru, Karnataka, India",5036,1037
Talent Acquisition Manager,3037,Hybrid,5037,1038
Business Development Associate,3038,"Noida, Uttar Pradesh, India",5038,1039
Talent Acquisition Partner,3039,"Navi Mumbai, Maharashtra, India",5039,1040
Business Development Associate,3040,"Bengaluru, Karnataka, India",5040,1041
Recruitment Manager / Recruiter,3041,"Manesar, Haryana, India",5041,1042
Project Associate,3042,"Delhi, India",5042,1043
Associate - Customer Service - Work At Home (REF11B),3043,"Hyderabad, Telangana, India",5043,1044
Assistant Manager-HR,3044,"Bengaluru, Karnataka, India",5044,1045
Team Lead,3045,"Bhopal, Madhya Pradesh, India",5045,1046
International Sales Specialist,3046,Hybrid,5046,1047
Part Time Income Opportunity -Online,3047,India,5047,1048
Talent Acquisition Executive,3048,"Bengaluru, Karnataka, India",5048,1049
Talent Acquisition Specialist,3049,India,5049,1050
Deputy Manager Talent Acquisition,3050,"Hyderabad House, Delhi, India",5050,1051
Strategy and Operation Role,3051,"Noida, Uttar Pradesh, India",5051,1052
